timestamp,system_id,subsystem,voltage_v,current_a,temperature_c,capacity_ah,state_of_charge,health_indicators,operating_state,metadata
0.0,ASTRA-FLAGSHIP-01,EPS,32.44846306525166,2.9193462934141996,19.926584071692073,40.0,0.9497970793266495,"{'soh': 1.0, 'internal_resistance_ohm': 0.045, 'solar_health_factor': 1.0}",NOMINAL,"{'is_sunlight': False, 'orbit_fraction': 0.0, 'solar_power_w': 0.0, 'load_power_w': 95.0, 'operating_mode': 'STANDBY', 'fault_active': False, 'active_faults': [], 'dataset': 'ASTRA_SIMULATED_EPS'}"
10.0,ASTRA-FLAGSHIP-01,EPS,32.604633521305665,2.9175713952877027,19.777003415928522,39.99999837663461,0.9495941513090949,"{'soh': 0.9999999594158653, 'internal_resistance_ohm': 0.04500000219154328, 'solar_health_factor': 1.0}",NOMINAL,"{'is_sunlight': False, 'orbit_fraction': 0.0017421602787456446, 'solar_power_w': 0.0, 'load_power_w': 95.0, 'operating_mode': 'STANDBY', 'fault_active': False, 'active_faults': [], 'dataset': 'ASTRA_SIMULATED_EPS'}"
20.0,ASTRA-FLAGSHIP-01,EPS,32.60537601169986,2.937319414331878,19.660064541318164,39.99999675321054,0.9493912159462933,"{'soh': 0.9999999188302635, 'internal_resistance_ohm': 0.045000004383165766, 'solar_health_factor': 1.0}",NOMINAL,"{'is_sunlight': False, 'orbit_fraction': 0.003484320557491289, 'solar_power_w': 0.0, 'load_power_w': 95.0, 'operating_mode': 'STANDBY', 'fault_active': False, 'active_faults': [], 'dataset': 'ASTRA_SIMULATED_EPS'}"
30.0,ASTRA-FLAGSHIP-01,EPS,32.43068361911366,2.913286166046239,19.55539812088122,39.99999512972777,0.9491882732372009,"{'soh': 0.9999998782431943, 'internal_resistance_ohm': 0.04500000657486751, 'solar_health_factor': 1.0}",NOMINAL,"{'is_sunlight': False, 'orbit_fraction': 0.005226480836236934, 'solar_power_w': 0.0, 'load_power_w': 95.0, 'operating_mode': 'STANDBY', 'fault_active': False, 'active_faults': [], 'dataset': 'ASTRA_SIMULATED_EPS'}"
40.0,ASTRA-FLAGSHIP-01,EPS,32.37612378424525,2.8849563174059374,19.3879013069254,39.99999350618629,0.948985323180773,"{'soh': 0.9999998376546573, 'internal_resistance_ohm': 0.0450000087666485, 'solar_health_factor': 1.0}",NOMINAL,"{'is_sunlight': False, 'orbit_fraction': 0.006968641114982578, 'solar_power_w': 0.0, 'load_power_w': 95.0, 'operating_mode': 'STANDBY', 'fault_active': False, 'active_faults': [], 'dataset': 'ASTRA_SIMULATED_EPS'}"
50.0,ASTRA-FLAGSHIP-01,EPS,32.241023950294036,2.902721450106047,19.385634678830886,39.9999918825861,0.948782365775964,"{'soh': 0.9999997970646526, 'internal_resistance_ohm': 0.04500001095850876, 'solar_health_factor': 1.0}",NOMINAL,"{'is_sunlight': False, 'orbit_fraction': 0.008710801393728223, 'solar_power_w': 0.0, 'load_power_w': 95.0, 'operating_mode': 'STANDBY', 'fault_active': False, 'active_faults': [], 'dataset': 'ASTRA_SIMULATED_EPS'}"
60.0,ASTRA-FLAGSHIP-01,EPS,32.18077940161359,2.8949915888708655,19.339287964937075,39.9999902589272,0.9485794010217273,"{'soh': 0.99999975647318, 'internal_resistance_ohm': 0.04500001315044828, 'solar_health_factor': 1.0}",NOMINAL,"{'is_sunlight': False, 'orbit_fraction': 0.010452961672473868, 'solar_power_w': 0.0, 'load_power_w': 95.0, 'operating_mode': 'STANDBY', 'fault_active': False, 'active_faults': [], 'dataset': 'ASTRA_SIMULATED_EPS'}"
70.0,ASTRA-FLAGSHIP-01,EPS,32.2872660990937,2.9241219747791467,19.09115484320473,39.99998863520956,0.9483764289170156,"{'soh': 0.999999715880239, 'internal_resistance_ohm': 0.045000015342467094, 'solar_health_factor': 1.0}",NOMINAL,"{'is_sunlight': False, 'orbit_fraction': 0.012195121951219513, 'solar_power_w': 0.0, 'load_power_w': 95.0, 'operating_mode': 'STANDBY', 'fault_active': False, 'active_faults': [], 'dataset': 'ASTRA_SIMULATED_EPS'}"
80.0,ASTRA-FLAGSHIP-01,EPS,32.23246113504576,2.925078913598872,19.001528362319522,39.999987011433184,0.9481734494607805,"{'soh': 0.9999996752858296, 'internal_resistance_ohm': 0.04500001753456521, 'solar_health_factor': 1.0}",NOMINAL,"{'is_sunlight': False, 'orbit_fraction': 0.013937282229965157, 'solar_power_w': 0.0, 'load_power_w': 95.0, 'operating_mode': 'STANDBY', 'fault_active': False, 'active_faults': [], 'dataset': 'ASTRA_SIMULATED_EPS'}"
90.0,ASTRA-FLAGSHIP-01,EPS,32.37820898739842,2.9112274241566425,18.941474055308053,39.99998538759806,0.9479704626519729,"{'soh': 0.9999996346899515, 'internal_resistance_ohm': 0.04500001972674262, 'solar_health_factor': 1.0}",NOMINAL,"{'is_sunlight': False, 'orbit_fraction': 0.0156794425087108, 'solar_power_w': 0.0, 'load_power_w': 95.0, 'operating_mode': 'STANDBY', 'fault_active': False, 'active_faults': [], 'dataset': 'ASTRA_SIMULATED_EPS'}"
