timestamp,system_id,subsystem,voltage_v,current_a,temperature_c,capacity_ah,state_of_charge,operating_state,hi_soh,hi_internal_resistance_ohm,hi_solar_health_factor,meta_is_sunlight,meta_orbit_fraction,meta_solar_power_w,meta_load_power_w,meta_operating_mode,meta_fault_active,meta_dataset
0.0,ASTRA-SC-01,EPS,32.44846306525166,2.9193462934141996,19.926584071692073,40.0,0.9497970793266495,NOMINAL,1.0,0.045,1.0,False,0.0,0.0,95.0,STANDBY,False,ASTRA_SIMULATED_EPS
10.0,ASTRA-SC-01,EPS,32.604633521305665,2.9175713952877027,19.777003415928522,39.99999837663461,0.9495941513090949,NOMINAL,0.9999999594158653,0.04500000219154328,1.0,False,0.0017421602787456446,0.0,95.0,STANDBY,False,ASTRA_SIMULATED_EPS
20.0,ASTRA-SC-01,EPS,32.60537601169986,2.937319414331878,19.660064541318164,39.99999675321054,0.9493912159462933,NOMINAL,0.9999999188302635,0.045000004383165766,1.0,False,0.003484320557491289,0.0,95.0,STANDBY,False,ASTRA_SIMULATED_EPS
30.0,ASTRA-SC-01,EPS,32.43068361911366,2.913286166046239,19.55539812088122,39.99999512972777,0.9491882732372009,NOMINAL,0.9999998782431943,0.04500000657486751,1.0,False,0.005226480836236934,0.0,95.0,STANDBY,False,ASTRA_SIMULATED_EPS
40.0,ASTRA-SC-01,EPS,32.37612378424525,2.8849563174059374,19.3879013069254,39.99999350618629,0.948985323180773,NOMINAL,0.9999998376546573,0.0450000087666485,1.0,False,0.006968641114982578,0.0,95.0,STANDBY,False,ASTRA_SIMULATED_EPS
50.0,ASTRA-SC-01,EPS,32.241023950294036,2.902721450106047,19.385634678830886,39.9999918825861,0.948782365775964,NOMINAL,0.9999997970646526,0.04500001095850876,1.0,False,0.008710801393728223,0.0,95.0,STANDBY,False,ASTRA_SIMULATED_EPS
60.0,ASTRA-SC-01,EPS,32.18077940161359,2.8949915888708655,19.339287964937075,39.9999902589272,0.9485794010217273,NOMINAL,0.99999975647318,0.04500001315044828,1.0,False,0.010452961672473868,0.0,95.0,STANDBY,False,ASTRA_SIMULATED_EPS
70.0,ASTRA-SC-01,EPS,32.2872660990937,2.9241219747791467,19.09115484320473,39.99998863520956,0.9483764289170156,NOMINAL,0.999999715880239,0.045000015342467094,1.0,False,0.012195121951219513,0.0,95.0,STANDBY,False,ASTRA_SIMULATED_EPS
80.0,ASTRA-SC-01,EPS,32.23246113504576,2.925078913598872,19.001528362319522,39.999987011433184,0.9481734494607805,NOMINAL,0.9999996752858296,0.04500001753456521,1.0,False,0.013937282229965157,0.0,95.0,STANDBY,False,ASTRA_SIMULATED_EPS
90.0,ASTRA-SC-01,EPS,32.37820898739842,2.9112274241566425,18.941474055308053,39.99998538759806,0.9479704626519729,NOMINAL,0.9999996346899515,0.04500001972674262,1.0,False,0.0156794425087108,0.0,95.0,STANDBY,False,ASTRA_SIMULATED_EPS
100.0,ASTRA-SC-01,EPS,32.21766407464118,2.9594482518389507,18.852655715535633,39.99998376370418,0.9477674684895426,NOMINAL,0.9999995940926045,0.04500002191899936,1.0,False,0.017421602787456445,0.0,95.0,STANDBY,False,ASTRA_SIMULATED_EPS
110.0,ASTRA-SC-01,EPS,32.14164124187974,2.9393556665364917,18.689847965567854,39.999982139751545,0.9475644669724387,NOMINAL,0.9999995534937886,0.04500002411133542,1.0,False,0.01916376306620209,0.0,95.0,STANDBY,False,ASTRA_SIMULATED_EPS
